id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
agent-humpty-dumpty,ahd,Agent Humpty Dumpty,6.08e-06,0.0,0.0,
amateras,amt,Amateras,0.00788891,0.0,23.68,1.30783
aave-mkr-v1,amkr,Aave MKR v1,1993.5,0.0,0.0,1.08794
aave-v3-crv,acrv,Aave v3 CRV,0.528371,0.0,0.0,2.59225
aave-amm-bptwbtcweth,aammbptwbtcweth,Aave AMM BptWBTCWETH,262919.0,0.0,0.0,2.3228
aave-amm-uniuniweth,aammuniuniweth,Aave AMM UniUNIWETH,695.08,0.0,0.0,2.30309
aave-amm-dai,aammdai,Aave AMM DAI,0.99927,0.0,0.0,-0.06222
aipocalypto,aipo,Aipocalypto,0.00440656,0.0,5218.3,
01coin,zoc,01coin,9.543e-05,0.0,6.28,
ai-com,ai.com,AI.COM,1.63e-06,0.0,1.28,
agri-future-token,agrf,AGRI FUTURE TOKEN,1.59,0.0,189052.0,-3.34355
